observation_date,GNP
1/1/1947,244.142
4/1/1947,247.063
7/1/1947,250.716
10/1/1947,260.981
1/1/1948,267.133
4/1/1948,274.046
7/1/1948,280.679
10/1/1948,281.837
1/1/1949,276.420
4/1/1949,272.680
7/1/1949,274.162
10/1/1949,271.760
1/1/1950,282.056
4/1/1950,291.699
7/1/1950,309.760
10/1/1950,321.554
1/1/1951,337.537
4/1/1951,345.973
7/1/1951,353.381
10/1/1951,358.330
1/1/1952,361.821
4/1/1952,363.049
7/1/1952,369.683
10/1/1952,382.751
1/1/1953,389.888
4/1/1953,393.801
7/1/1953,392.980
10/1/1953,387.798
1/1/1954,387.345
4/1/1954,388.119
7/1/1954,393.034
10/1/1954,402.077
1/1/1955,415.496
4/1/1955,423.930
7/1/1955,432.668
10/1/1955,439.619
1/1/1956,442.597
4/1/1956,448.848
7/1/1956,454.125
10/1/1956,463.023
1/1/1957,472.864
4/1/1957,475.392
7/1/1957,482.723
10/1/1957,477.398
1/1/1958,470.170
4/1/1958,474.672
7/1/1958,488.446
10/1/1958,502.140
1/1/1959,512.913
4/1/1959,525.253
7/1/1959,527.864
10/1/1959,531.630
1/1/1960,545.575
4/1/1960,544.084
7/1/1960,548.768
10/1/1960,543.553
1/1/1961,548.594
4/1/1961,558.945
7/1/1961,571.166
10/1/1961,584.209
1/1/1962,597.614
4/1/1962,604.358
7/1/1962,613.078
10/1/1962,617.010
1/1/1963,626.179
4/1/1963,634.089
7/1/1963,648.882
10/1/1963,658.563
1/1/1964,674.880
4/1/1964,683.549
7/1/1964,697.079
10/1/1964,702.017
1/1/1965,723.225
4/1/1965,735.832
7/1/1965,754.576
10/1/1965,776.644
1/1/1966,800.732
4/1/1966,810.033
7/1/1966,824.605
10/1/1966,838.565
1/1/1967,849.391
4/1/1967,854.063
7/1/1967,870.922
10/1/1967,887.023
1/1/1968,915.204
4/1/1968,940.344
7/1/1968,957.077
10/1/1968,974.301
1/1/1969,999.671
4/1/1969,1015.181
7/1/1969,1035.904
10/1/1969,1044.164
1/1/1970,1057.487
4/1/1970,1074.012
7/1/1970,1092.643
10/1/1970,1094.672
1/1/1971,1142.570
4/1/1971,1164.246
7/1/1971,1184.935
10/1/1971,1198.025
1/1/1972,1238.784
4/1/1972,1274.485
7/1/1972,1299.485
10/1/1972,1337.927
1/1/1973,1388.160
4/1/1973,1425.513
7/1/1973,1447.715
10/1/1973,1490.591
1/1/1974,1508.276
4/1/1974,1546.453
7/1/1974,1575.303
10/1/1974,1613.018
1/1/1975,1627.512
4/1/1975,1663.509
7/1/1975,1722.818
10/1/1975,1777.797
1/1/1976,1836.233
4/1/1976,1868.977
7/1/1976,1903.677
10/1/1976,1952.150
1/1/1977,2009.413
4/1/1977,2076.658
7/1/1977,2139.358
10/1/1977,2183.039
1/1/1978,2224.853
4/1/1978,2350.382
7/1/1978,2415.943
10/1/1978,2501.540
1/1/1979,2552.290
4/1/1979,2620.698
7/1/1979,2703.659
10/1/1979,2760.381
1/1/1980,2827.831
4/1/1980,2833.163
7/1/1980,2890.897
10/1/1980,3014.083
1/1/1981,3155.609
4/1/1981,3192.545
7/1/1981,3293.303
10/1/1981,3318.447
1/1/1982,3310.294
4/1/1982,3372.900
7/1/1982,3401.349
10/1/1982,3436.654
1/1/1983,3507.464
4/1/1983,3615.589
7/1/1983,3727.046
10/1/1983,3834.386
1/1/1984,3945.094
4/1/1984,4047.140
7/1/1984,4121.606
10/1/1984,4181.775
1/1/1985,4255.859
4/1/1985,4322.557
7/1/1985,4409.267
10/1/1985,4469.698
1/1/1986,4530.053
4/1/1986,4560.834
7/1/1986,4625.847
10/1/1986,4669.623
1/1/1987,4736.524
4/1/1987,4824.292
7/1/1987,4902.321
10/1/1987,5027.678
1/1/1988,5098.360
4/1/1988,5212.852
7/1/1988,5302.996
10/1/1988,5422.172
1/1/1989,5533.649
4/1/1989,5634.129
7/1/1989,5719.661
10/1/1989,5778.036
1/1/1990,5902.220
4/1/1990,5991.651
7/1/1990,6042.253
10/1/1990,6055.220
1/1/1991,6074.636
4/1/1991,6155.420
7/1/1991,6231.047
10/1/1991,6297.761
1/1/1992,6395.836
4/1/1992,6502.819
7/1/1992,6595.851
10/1/1992,6711.112
1/1/1993,6766.665
4/1/1993,6839.590
7/1/1993,6918.254
10/1/1993,7034.356
1/1/1994,7143.011
4/1/1994,7269.779
7/1/1994,7352.370
10/1/1994,7475.650
1/1/1995,7552.116
4/1/1995,7613.638
7/1/1995,7701.977
10/1/1995,7803.073
1/1/1996,7905.735
4/1/1996,8061.846
7/1/1996,8157.220
10/1/1996,8291.163
1/1/1997,8385.773
4/1/1997,8549.503
7/1/1997,8685.903
10/1/1997,8782.231
1/1/1998,8891.834
4/1/1998,8992.195
7/1/1998,9130.667
10/1/1998,9306.215
1/1/1999,9438.205
4/1/1999,9550.036
7/1/1999,9704.595
10/1/1999,9931.958
1/1/2000,10031.808
4/1/2000,10279.560
7/1/2000,10347.082
10/1/2000,10491.035
1/1/2001,10510.594
4/1/2001,10644.451
7/1/2001,10619.900
10/1/2001,10747.342
1/1/2002,10837.730
4/1/2002,10923.146
7/1/2002,11035.492
10/1/2002,11130.278
1/1/2003,11226.655
4/1/2003,11368.273
7/1/2003,11621.763
10/1/2003,11849.731
1/1/2004,12018.970
4/1/2004,12182.398
7/1/2004,12386.854
10/1/2004,12579.436
1/1/2005,12851.097
4/1/2005,12987.610
7/1/2005,13230.073
10/1/2005,13389.590
1/1/2006,13662.717
4/1/2006,13802.956
7/1/2006,13907.106
10/1/2006,14087.456
1/1/2007,14260.827
4/1/2007,14456.794
7/1/2007,14666.605
10/1/2007,14859.307
1/1/2008,14812.719
4/1/2008,14971.515
7/1/2008,15020.055
10/1/2008,14665.524
1/1/2009,14511.592
4/1/2009,14468.341
7/1/2009,14591.831
10/1/2009,14791.715
1/1/2010,14915.441
4/1/2010,15121.332
7/1/2010,15269.060
10/1/2010,15445.256
1/1/2011,15502.925
4/1/2011,15716.572
7/1/2011,15837.248
10/1/2011,16059.096
1/1/2012,16268.022
4/1/2012,16380.378
7/1/2012,16485.807
10/1/2012,16583.025
1/1/2013,16783.690
4/1/2013,16866.179
7/1/2013,17090.464
10/1/2013,17321.999
1/1/2014,17348.082
4/1/2014,17662.883
7/1/2014,17979.461
10/1/2014,18063.277
1/1/2015,18202.706
4/1/2015,18440.564
7/1/2015,18549.707
10/1/2015,18589.168
1/1/2016,18613.264
4/1/2016,18853.259
7/1/2016,18997.498
10/1/2016,19226.021
1/1/2017,19395.281
4/1/2017,19575.374
7/1/2017,19842.994
10/1/2017,20102.594
1/1/2018,20309.764
4/1/2018,20678.941
